,name,age,birthcity,birthcountry,grade,no_opinions,no_awards,no_nominations,top_number,profession,known_for_list,three_best_roles,newest_productions
50,Marcin Dorociński ,49.0, Milanówek,Polska ,"8,3",62 580,5.0,16.0,144,aktorzy,"['Róża', 'PitBull', 'Rewers']","['Podkomisarz Sławomir Desperski ""Despero""', 'Tadeusz', 'Andrzej']","['Niebezpieczni dżentelmeni', 'Czarny młyn', 'Teściowie']"
51,Jack Nicholson I,85.0,New Jersey,USA ,"9,0",74 644,48.0,42.0,2,aktorzy,"['Lepiej być nie może', 'Lśnienie', 'Infiltracja']","['Melvin Udall', ""J. J. 'Jake' Gittes"", 'Płk. Nathan R. Jessup']","['Skąd wiesz?', 'Choć goni nas czas', 'Infiltracja']"
52,Mads Mikkelsen ,57.0, Kopenhaga,Dania ,"8,7",48 358,7.0,21.0,37,aktorzy,"['Polowanie', 'Na rauszu', 'Hannibal']","['Lucas', 'Ivan', 'Martin']","['War Below Zero', 'Untitled Indiana Jones Project', ""Fantastyczne zwierzęta: Tajemnice Dumbledore'a""]"
53,Tom Hanks ,66.0,Kalifornia,USA ,"8,9",135 936,27.0,71.0,320,scenarzyści,"['Filadelfia', 'Forrest Gump', 'Apollo 13']","['Andrew Beckett', 'Kapitan John H. Miller', 'Kapitan Richard Phillips']","['Elvis', 'Pinocchio', 'Asteroid City']"
54,Anne Hathaway ,40.0,Nowy Jork,USA ,"8,1",58 655,17.0,41.0,69,aktorki,"['Nędznicy', 'Mroczny Rycerz powstaje', 'Miłość i inne używki']","['Emma Morley', 'Fantine', 'Maggie Murdock']","['Get Happy: The Life of Judy Garland', 'Sesame Street', 'She Came to Me']"
55,Ryan Gosling ,42.0, London,Kanada ,"8,2",72 094,11.0,54.0,176,aktorzy,"['Drive', 'La La Land', 'Nice Guys. Równi goście']","['Noah', 'Lars Lindstrom', 'Kierowca']","['Barbie', 'Szary człowiek', 'Pierwszy człowiek']"
56,Emma Watson II,32.0, Paryż,Francja ,"8,3",62 950,9.0,26.0,32,aktorki,"['Harry Potter i Insygnia Śmierci, cz.2', 'Harry Potter i Insygnia Śmierci: Część I', 'Piękna i Bestia']","['Sam', 'Pauline Fossil']","['Małe kobietki', 'Piękna i Bestia', 'The Circle. Krąg']"
57,Samuel L. Jackson ,74.0,Dystrykt Kolumbii,USA ,"8,4",143 299,7.0,31.0,114,aktorzy,"['Pulp Fiction', 'Django', 'Nienawistna ósemka']","['Major Marquis Warren', 'Trener Ken Carter', 'Darius Kincaid']","['The Marvels', 'Argylle', 'The Blob']"
58,Robert Pattinson ,36.0,Anglia,Wielka Brytania ,"8,1",48 177,23.0,22.0,268,aktorzy,"['Saga ""Zmierzch"": Zaćmienie', 'Saga ""Zmierzch"": Księżyc w nowiu', 'Saga ""Zmierzch"": Przed świtem. Część 2']","['Thomas Howard', 'Wielebny Preston Teagardin', 'Connie Nikas']","['Batman', 'Diabeł wcielony', 'Tenet']"
59,Christian Bale ,48.0,Walia,Wielka Brytania ,"8,8",106 862,22.0,47.0,23,aktorzy,"['Fighter', 'Mroczny Rycerz', 'Batman - Początek']","['Trevor Reznik', 'Dicky Eklund', 'Dick Cheney']","['Thor: Miłość i grom', 'The Pale Blue Eye', 'Untitled David O. Russell Project']"
60,Daniel Radcliffe ,33.0,Anglia,Wielka Brytania ,"8,2",49 023,5.0,22.0,228,aktorzy,"['Harry Potter i Insygnia Śmierci, cz.2', 'Harry Potter i Kamień Filozoficzny', 'Harry Potter i Insygnia Śmierci: Część I']","['Manny', 'Allen Ginsberg', 'Młody dr Vladimir Bomgard']","['Weird: The Al Yankovic Story', 'Zaginione miasto', 'Cudotwórcy: Szlak oregoński']"
61,Arkadiusz Jakubik ,53.0, Strzelce Opolskie,Polska ,"8,4",53 442,9.0,19.0,96,aktorzy,"['Wołyń', 'Drogówka', 'Dom zły']","['Edward Środoń', 'Notariusz Jan Janocha', 'Ksiądz Andrzej Kukuła']","['Informacja zwrotna', 'Klangor', 'Wesele']"
62,Orlando Bloom ,45.0,Anglia,Wielka Brytania ,"8,3",55 291,9.0,16.0,150,aktorzy,"['Piraci z Karaibów: Skrzynia umarlaka', 'Władca Pierścieni: Drużyna Pierścienia', 'Władca Pierścieni: Powrót króla']","['Malky', 'Brian Epkeen']","['Igła w stogu czasu', 'Carnival Row', 'Kamdesh. Afgańskie piekło']"
63,Heath Ledger ,43.0, Perth,Australia ,"8,8",47 660,20.0,24.0,13,aktorzy,"['Tajemnica Brokeback Mountain', ""I'm Not There. Gdzie indziej jestem"", 'Obłędny rycerz']","['Ennis Del Mar', 'Patrick Verona', 'Dan']","['Parnassus', 'Mroczny Rycerz', ""I'm Not There. Gdzie indziej jestem""]"
64,Woody Harrelson ,61.0,Teksas,USA ,"8,4",87 682,8.0,39.0,116,aktorzy,"['To nie jest kraj dla starych ludzi', 'Trzy billboardy za Ebbing, Missouri', 'Cienka czerwona linia']","['Mickey Knox', 'Rex', 'Larry Flynt']","['The Man from Toronto', 'Venom 2: Carnage', 'Kate']"
65,Jake Gyllenhaal ,42.0,Kalifornia,USA ,"8,7",109 276,4.0,44.0,25,aktorzy,"['Tajemnica Brokeback Mountain', 'Wolny strzelec', 'Labirynt']","['Louis Bloom', 'Billy Hope', 'Detektyw David Loki']","['The Interpreter', 'The Division', 'Rio']"
66,Christoph Waltz ,66.0, Wiedeń,Austria ,"8,8",60 324,19.0,9.0,19,aktorzy,"['Django', 'Bękarty wojny', 'Rzeź']","['Dr King Schultz', 'Alan Cowan', 'August Rosenbluth']","['Reagan & Gorbachev', 'The Portable Door', 'Kurier Francuski z Liberty, Kansas Evening Sun']"
67,Russell Crowe ,58.0, Wellington,Nowa Zelandia ,"8,6",62 007,16.0,49.0,56,aktorzy,"['Informator', 'Nędznicy', 'Nice Guys. Równi goście']","['John Forbes Nash Jr.', 'Maximus', 'Jim Braddock']","['Kraven the Hunter', 'Land of Bad', 'Rothko']"
68,Agata Kulesza ,51.0, Szczecin,Polska ,"8,3",50 559,12.0,15.0,33,aktorki,"['Sala samobójców', 'Róża', 'Ida']","['Róża Kwiatkowska', 'Teresa Klemańska', 'Marta Makowska']","['Wesele', '25 lat niewinności. Sprawa Tomka Komendy', 'Skazana']"
69,Quentin Tarantino ,59.0,Tennessee,USA ,"8,9",37 479,42.0,82.0,2,scenarzyści,"['Pewnego razu... w Hollywood', 'Nienawistna ósemka', 'Wściekłe psy']","['""The Man from Hollywood""']","['Pewnego razu... w Hollywood', 'Nienawistna ósemka', 'Django']"
70,Viggo Mortensen ,64.0,Nowy Jork,USA ,"8,6",50 890,7.0,45.0,24,aktorzy,"['Władca Pierścieni: Powrót króla', 'Green Book', 'Captain Fantastic']","['Tony Lip', 'Ben', 'Nikolai Luzhin']","['Crimes of the Future', 'Jeszcze jest czas', 'Green Book']"
71,Emma Stone III,34.0,Arizona,USA ,"8,3",70 795,17.0,60.0,36,aktorki,"['La La Land', 'Służące', 'Birdman czyli (Nieoczekiwane pożytki z niewiedzy)']","['Abigail', 'Annie Landsberg', 'Olive Penderghast']","['Poor Things', 'Cruella', 'The Curse']"
72,Ben Affleck ,50.0,Kalifornia,USA ,"7,5",50 632,28.0,59.0,122,scenarzyści,"['Operacja Argo', 'Buntownik z wyboru', 'Pearl Harbor']","['Christian Wolff', 'Chuckie Sullivan', 'Doug MacRay']","['Justice League Part Two', 'The Flash', 'Głęboka woda']"
73,Kevin Spacey ,63.0,New Jersey,USA ,"8,8",74 552,19.0,40.0,14,aktorzy,"['Siedem', 'Podejrzani', 'House of Cards']","['Prot', 'Dr David Gale', 'Jack Vincennes']","['Gore', 'Klub miliarderów', 'House of Cards']"
74,Tom Hardy I,45.0,Anglia,Wielka Brytania ,"8,8",113 793,4.0,23.0,21,aktorzy,"['Mad Max: Na drodze gniewu', 'Legend', 'Locke']","['Stuart Shorter', 'Alfie Solomons', 'James Keziah Delaney']","['Mad Max: The Wasteland', 'Havoc', 'Venom 2: Carnage']"
75,Morgan Freeman I,85.0,Tennessee,USA ,"8,5",104 451,14.0,25.0,91,aktorzy,"['Za wszelką cenę', 'Wożąc panią Daisy', 'Invictus - Niepokonany']","['Somerset', 'Eddie Scrap-Iron Dupris', 'Carter Chambers']","['The Minute You Wake Up Dead', 'Bodyguard i żona zawodowca', 'Solówki']"
76,Colin Firth ,62.0,Anglia,Wielka Brytania ,"8,5",62 540,20.0,17.0,69,aktorzy,"['Jak zostać królem', 'Samotny mężczyzna', 'Dziennik Bridget Jones']","['Fitzwilliam Darcy', 'Król Jerzy VI', 'Profesor George Falconer']","['Schody', 'Mothering Sunday', 'Operation Mincemeat']"
77,Clint Eastwood ,92.0,Kalifornia,USA ,"8,9",65 352,36.0,69.0,39,reżyserzy,"['Gran Torino', 'Bez przebaczenia', 'Snajper']","['Bezimienny rewolwerowiec ""Blondas""', 'Bezimienny rewolwerowiec', 'William ""Bill"" Munny']","['Cry Macho', 'Przemytnik', 'Snajper']"
78,Harrison Ford I,80.0,Illinois,USA ,"8,6",81 852,6.0,19.0,55,aktorzy,"['Gwiezdne wojny IV - Nowa nadzieja', 'Indiana Jones: Poszukiwacze zaginionej Arki', 'Gwiezdne wojny: Przebudzenie Mocy']","['Dr Richard Kimble', 'Doktor Richard Walker', 'William Jones']","['Untitled Indiana Jones Project', 'Zew krwi', 'Gwiezdne wojny: Skywalker. Odrodzenie']"
79,Michael Fassbender ,45.0,RFN ,(obecnie Niemcy) ,"8,1",61 829,17.0,44.0,204,aktorzy,"['Wstyd', 'Bękarty wojny', 'Zniewolony. 12 Years a Slave']","['Brandon Sullivan', 'Bobby Sands', 'Edwin Epps']","['Kung Fury II: The Movie', 'Next Goal Wins', 'The Killer']"
80,Johnny Depp ,59.0,Kentucky,USA ,"8,8",214 623,24.0,73.0,18,aktorzy,"['Piraci z Karaibów: Skrzynia umarlaka', 'Piraci z Karaibów: Na krańcu świata', 'Sweeney Todd: Demoniczny golibroda z Fleet Street']","['Raoul Duke', 'Sweeney Todd', 'Sam']","['In the Hand of Dante', 'Minamata', 'Czekając na barbarzyńców']"
81,Alan Rickman I,76.0,Anglia,Wielka Brytania ,"8,9",79 347,9.0,15.0,5,aktorzy,"['Szklana pułapka', 'Robin Hood: Książę złodziei', 'Rasputin']",['Pułkownik Christopher Brandon'],"['Niewidzialny wróg', 'Odrobina chaosu', 'Kamerdyner']"
82,Mark Ruffalo ,55.0,Wisconsin,USA ,"8,1",66 415,10.0,51.0,240,aktorzy,"['Spotlight', 'Avengers 3D', 'Foxcatcher']","['Dominick Birdsey / Thomas Birdsey', 'Ned Weeks', 'Cameron Stuart']","['She-Hulk', 'Poor Things', 'Newsflash']"
83,Ralph Fiennes ,60.0,Anglia,Wielka Brytania ,"8,6",72 557,9.0,43.0,47,aktorzy,"['The Hurt Locker. W pułapce wojny', 'Wierny ogrodnik', 'Kropla słońca']","['Amon Goeth', 'Pan Gustave H.', 'Ignatz Sonnenschein / Adam Sors / Ivan Sors']","['The Menu ', 'Brideshead Revisited', 'The Return']"
84,Daniel Craig I,54.0,Anglia,Wielka Brytania ,"8,3",48 730,3.0,20.0,148,aktorzy,"['Skyfall', 'Nie czas umierać', 'Casino Royale']","['Benoit Blanc', 'Mikael Blomkvist', 'Rudy Mackenzie']","['Nie czas umierać', 'Purity', 'Na noże']"
85,Martin Freeman II,51.0,Anglia,Wielka Brytania ,"8,4",49 037,4.0,12.0,71,aktorzy,"['Sherlock', 'Hobbit: Tam i z powrotem', 'Czarna Pantera']","['Lester Nygaard', 'Mike Priddle', 'Andy']","['Czarna Pantera: Wakanda w moim sercu', 'Policjant', 'Rodzice']"
86,Benedict Cumberbatch ,46.0,Anglia,Wielka Brytania ,"8,8",95 171,11.0,49.0,20,aktorzy,"['Sherlock', 'Hobbit 2: Pustkowie Smauga', 'Psie pazury']","['Patrick Melrose', 'Nekromanta', 'Alan Turing']","['Doktor Strange w multiwersum obłędu', 'Rio', 'The 39 Steps']"
87,Anthony Hopkins I,85.0,Walia,Wielka Brytania ,"8,9",102 549,23.0,50.0,7,aktorzy,"['Milczenie owiec', 'Ojciec', 'Okruchy dnia']","['Anthony', 'James Stevens', 'Burt Munro']","['Arabian Nights', 'Hemingway & Fuentes', 'Wirtuoz. Pojedynek zabójców']"
88,Leonardo DiCaprio ,48.0,Kalifornia,USA ,"9,0",228 144,34.0,90.0,3,aktorzy,"['Titanic 3D', 'Infiltracja', ""Co gryzie Gilberta Grape'a""]","['Arnie Grape', 'Jordan Belfort', 'Jim Carroll']","['Roosevelt', 'Killers of the Flower Moon', 'Jim Jones']"
89,Angelina Jolie ,47.0,Kalifornia,USA ,"8,5",64 094,17.0,51.0,10,aktorki,"['Pan i pani Smith', 'Przerwana lekcja muzyki', 'Oszukana']","['Lisa Rowe', 'Gia Carangi', 'Christine Collins']","['Eternals', 'Ci, którzy życzą mi śmierci', 'Piotruś Pan i Alicja w Krainie Czarów']"
90,Willem Dafoe ,67.0,Wisconsin,USA ,"8,2",64 923,19.0,37.0,167,aktorzy,"['Projekt Floryda', 'Lighthouse', 'Cień wampira']","['Thomas Wake', 'Paul Smecker', 'Sierżant Elias Grodin']","['Wiking', 'Poor Things', 'Kurier Francuski z Liberty, Kansas Evening Sun']"
91,Michael Caine I,89.0,Anglia,Wielka Brytania ,"8,2",56 757,12.0,33.0,177,aktorzy,"['Młodość', 'Wbrew regułom', 'Hannah i jej siostry']","['Milo Tindle', 'Matthew Morgan', 'Fred Ballinger']","['Jan Žižka', 'Twist', 'Best Sellers']"
92,Bogusław Linda ,70.0, Toruń,Polska ,"8,1",55 581,8.0,13.0,282,aktorzy,"['Psy', 'Tato', 'Kroll']","['Jacek Grochala', 'Michał Sulecki', 'Witek Długosz']","['Odwilż', 'Psy 3. W imię zasad', 'Diablo. Wyścig o wszystko']"
93,James McAvoy ,43.0,Szkocja,Wielka Brytania ,"8,7",63 776,2.0,14.0,32,aktorzy,"['Brud', 'Pokuta', 'Split']","['Dennis / Patricia / Hedwig / Bestia / Kevin Wendell Crumb / Barry / Orwell / Jade', 'Bruce Robertson', 'Patricia / Dennis / Hedwig / Bestia / Barry / Heinrich / Jade / Ian / Mary Reynolds / Norma / Jalin / Kat / B.T. / Kevin Wendell Crumb / Pan Pritchard / Felida / Luke / Goddard / Samuel / Polly']","['Bańka', 'Together', 'Mój syn']"
94,Jason Statham ,55.0,Anglia,Wielka Brytania ,"8,4",70 565,2.0,14.0,123,aktorzy,"['Agentka', 'Szybcy i wściekli 7', 'Szybcy i wściekli 8']","['Frank Martin', 'Rick Ford', 'Frank Martin']","['The Expendables 4', 'Gra fortuny', 'Jeden gniewny człowiek']"
95,Cezary Pazura ,60.0, Tomaszów Mazowiecki,Polska ,"8,0",64 640,6.0,9.0,324,aktorzy,"['Tato', 'Weekend', 'Kroll']","['Fred', 'Podporucznik Waldemar Morawiec ""Nowy""', 'Kapral Edward Wiaderny']","['Tajemnica zawodowa', 'Fuks 2', 'Nie cudzołóż i nie kradnij']"
96,Tom Cruise ,60.0,Nowy Jork,USA ,"8,1",68 903,12.0,52.0,254,aktorzy,"['Wywiad z wampirem', 'Jerry Maguire', 'Magnolia']","['Ron Kovic', 'Lestat de Lioncourt', 'Kapitan Nathan Algren']","['Mission: Impossible - Dead Reckoning Part Two', 'Mission: Impossible 7 - Dead Reckoning Part 1', 'Top Gun: Maverick']"
97,Andrzej Grabowski I,70.0, Chrzanów,Polska ,"7,7",51 239,12.0,52.0,,,"['Pitbull', 'Bad Boy', 'Druga połowa']","['Starszy aspirant Jacek Goc ""Gebels""', 'Ferdynand Kiepski', 'Starszy aspirant Jacek Goc ""Gebels""']","['Ślub doskonały', 'Za duży na bajki', 'Jak pokochałam gangstera']"
98,Dwayne Johnson I,50.0,Kalifornia,USA ,"7,9",48 643,12.0,45.0,126,producenci,"['Jumanji: Przygoda w dżungli', 'Mumia powraca', 'Agent i pół']","['Sean Porter', 'Spencer Strasmore', 'Joe Kingman']","['Doc Savage', 'Arabian Nights', 'San Andreas 2']"
99,Robert Downey Jr. ,57.0,Nowy Jork,USA ,"8,9",130 918,28.0,63.0,10,aktorzy,"['Iron Man III', 'Sherlock Holmes', 'Iron Man']",['Charles Spencer Chaplin'],"['Oppenheimer', 'Sherlock Holmes 3', 'The Sympathizer']"
