,name,birthday,birth_location,grade,no_opinions,awards_str,known_for,best_roles,newest_productions,ranking,awards,nominations,Country_of_birth,City_of_birth,won_oscar
75,Nicolas Cage,7 stycznia 1964,"Long Beach, Kalifornia, USA",7.6,55080,"Zdobył Oscar, 10 innych nagród i 35 nominacji","Zostawić Las Vegas, Twierdza, Bez twarzy, Adaptacja, Next, Polowanie na czarownice, Ghost Rider, Miasto aniołów, ","Ben Sanderson, Nick Cage / Nicky, Sailor Ripley, Jurij Orłow, Peter Loew, Castor Troy / Sean Archer, Al Columbato, Roy Waller, Charlie Kaufman / Donald Kaufman, Robin Feld, ","Renfield, Nieznośny ciężar wielkiego talentu, The Old Ways, The Retirement Plan, Więźniowie Ghostland, Niewesołe miasteczko, Świnia, Jiu Jitsu, Czas rozliczenia, Instynkt pierwotny, Domino śmierci, Kolor z przestworzy, W środku burzy, Podróże z diabłem, Zwierciadło, Kod 211, Mandy, Powrót z zaświatów, Historia zemsty, Pakt krwi, Manipulacja, Mama i tata, Biuro ludzkości, Snowden, Ostatnia misja USS Indianapolis, ",,11,35, USA,Long Beach,1
76,Julianne Moore,3 grudnia 1960,"Fayetteville, Karolina Północna, USA",8.1,56254,"Zdobyła Oscar, 38 innych nagród i 51 nominacji","Motyl Still Alice, Godziny, Boogie Nights, Daleko od nieba, Magnolia, Zmiana w grze, Mapy gwiazd, Na skróty, ","Alice Howland, Laura Brown, Cathy Whitaker, Sarah Palin, Laurel Hester, Havana Segrand, Gloria, Charley, Barbara Daly Baekeland, Amber Waves, ","When You Finish Saving the World, Kobieta w oknie, Historia Lisey, Drogi Evanie Hansenie, Gloria Steinem. Moje życie w drodze, Mothertrucker, Tuż po weselu, The Staggering Girl, Bel Canto, Gloria Bell, Kingsman: Złoty Krąg, Suburbicon, Wonderstruck, Igrzyska śmierci: Kosogłos. Część 2, Plan Maggie, Tytuł do praw, Siódmy syn, Non-Stop, Mapy gwiazd, Igrzyska śmierci: Kosogłos. Część 1, Motyl Still Alice, 9 Kisses, Nauczycielka angielskiego, Don Jon, Carrie, ",75,39,51, USA,Fayetteville,1
77,Bogusław Linda,27 czerwca 1952,"Toruń, Polska",8.1,55555,"Zdobył 3 nagrody Złota Kaczka, 5 innych nagród i 13 nominacji","Psy, Tato, Kroll, Przypadek, Demony wojny wg Goi, Sezon na leszcza, Kobieta samotna, Gorączka, ","Jacek Grochala, Michał Sulecki, Witek Długosz, Porucznik Arek, Ivan Sekal, Bolko, syn Hansa Heinricha, Major Edward Keller, dowódca kompanii, Louis Antoine Saint-Just, ","Odwilż, Psy 3. W imię zasad, Diablo. Wyścig o wszystko, Planeta Singli 3, Czarny Mercedes, Kobiety mafii, Kobiety mafii, Ach śpij kochanie, Pitbull. Nowe porządki, Powidoki, Paradoks, 1920 Bitwa Warszawska, Sztos 2, Mika i Alfred, Randka w ciemno, Trzy minuty. 21:37, Kajinek, Ratownicy, Prawo miasta, I kto tu rządzi?, Jasminum, Letnia miłość, Jasne błękitne okna, Czas surferów, Dziki 2. Pojedynek, ",282,8,13, Polska,Toruń,0
78,Eddie Redmayne,6 stycznia 1982,"Londyn, Anglia, Wielka Brytania",8.7,55980,"Zdobył Oscar, 5 innych nagród i 26 nominacji","Teoria wszystkiego, Nędznicy, Jupiter: Intronizacja, Proces Siódemki z Chicago, Dziewczyna z portretu, Fantastyczne zwierzęta i jak je znaleźć, Kochanice króla, Fantastyczne zwierzęta: Zbrodnie Grindelwalda, ","Stephen Hawking, Einar Wegener / Lili Elbe, Jack, Eddie Kreezer, Stephen Wraysford, Marius, Tony Baekeland, ","Fantastyczne zwierzęta: Tajemnice Dumbledore'a, Proces Siódemki z Chicago, The Aeronauts, Fantastyczne zwierzęta: Zbrodnie Grindelwalda, Fantastyczne zwierzęta i jak je znaleźć, Jupiter: Intronizacja, Dziewczyna z portretu, Teoria wszystkiego, Les Misérables: Nędznicy, Wojna i miłość, Mój tydzień z Marilyn, Prowincjuszka, The Miraculous Year, Czarna śmierć, Filary Ziemi, Błękitny deszcz, Wspaniały rok 1939, Kochanice króla, The Yellow Handkerchief, Tess D'Urbervilles, Elizabeth: Złoty wiek, Uwikłani, Like Minds, Dobry agent, Elżbieta I, ",38,6,26, Wielka Brytania,Londyn,1
79,Arkadiusz Jakubik,14 stycznia 1969,"Strzelce Opolskie, Polska",8.4,53397,"Zdobył 4 nagrody Orzeł, 5 innych nagród i 19 nominacji","Wołyń, Drogówka, Dom zły, Chce się żyć, Cicha noc, Jestem mordercą, Wesele, Prosta historia o miłości, ","Edward Środoń, Notariusz Jan Janocha, Ksiądz Andrzej Kukuła, Wiesław Kalicki, Maciej Skiba, Arek Gruz, Psycholog więzienny Rafał Wejman, Paweł Rosiński, Kierownik basenu, Sierżant sztabowy Bogdan Petrycki, ","Informacja zwrotna, Klangor, Wesele, Czarna owca, Król, Psy 3. W imię zasad, W głębi lasu, Jak najdalej stąd, Żywioły Saszy – Ogień, Saszka, Kler, Sztuka kochania. Historia Michaliny Wisłockiej, Najlepszy, Człowiek z magicznym pudełkiem, Ach śpij kochanie, Ksiądz, Cicha noc, Wołyń, Jestem mordercą, Performer, Carte Blanche, Ziarno prawdy, Czeski Błąd, Pod Mocnym Aniołem, Kochanie, chyba cię zabiłem, ",96,9,19, Polska,Strzelce Opolskie,0
80,Orlando Bloom,13 stycznia 1977,"Canterbury, Anglia, Wielka Brytania",8.3,55275,"Zdobył Nagroda Filmwebu, 8 innych nagród i 16 nominacji","Piraci z Karaibów: Skrzynia umarlaka, Władca Pierścieni: Drużyna Pierścienia, Władca Pierścieni: Powrót króla, Piraci z Karaibów: Na krańcu świata, Hobbit: Bitwa Pięciu Armii, Królestwo niebieskie, Hobbit 2: Pustkowie Smauga, Władca Pierścieni: Dwie wieże, ","Malky, Brian Epkeen, ","Igła w stogu czasu, Carnival Row, Kamdesh. Afgańskie piekło, Tożsamość zdrajcy, Piraci z Karaibów: Zemsta Salazara, Gniew, Tour de doping, Szanghajska robota, Idea in America, Easy, Nie igraj z ogniem, Hobbit: Bitwa Pięciu Armii, Zulu, Hobbit: Pustkowie Smauga, Dobry doktor, Trzej muszkieterowie, Fight For Your Right Revisited, Główna ulica, Uzdrowiciel na wózku, Zakochany Nowy Jork, Piraci z Karaibów: Na krańcu świata, Piraci z Karaibów: Skrzynia umarlaka, Miłość i inne nieszczęścia, Elizabethtown, Królestwo niebieskie, ",150,9,16, Wielka Brytania,Canterbury,0
81,Maciej Stuhr,23 czerwca 1975,"Kraków, Polska",7.4,52350,,"Pokłosie, Bad Boy, 33 sceny z życia, Sala samobójców. Hejter, Obława, Śluby panieńskie, Obywatel, Przedwiośnie, ","Alek Malinowski, Tomek Wilczyński, Paweł Zawadzki, Józef Kalina, brat Franciszka, Mikołaj Konieczny, Kuba Brenner, Tomek Wilczyński, Podkomisarz Artur Banaś, Henryk Kondolewicz, Mikołaj Konieczny, ","Fucking Bornholm, Fuks 2, Szadź, Powrót do tamtych dni, Sala samobójców. Hejter, Bad Boy, Bad Boy, Na bank się uda, Planeta Singli 3, Pisarze. Serial na krótko, Polityka, II koncert na wiolonczelę i orkiestrę, Polityka, Juliusz, Planeta Singli 2, Belfer, Czerwony kapitan, Planeta Singli, Listy do M. 2, Excentrycy, czyli po słonecznej stronie ulicy, Facet (nie)potrzebny od zaraz, Obywatel, Bezsenność, Drogówka, Wałęsa. Człowiek z nadziei, ",,,, Polska,Kraków,0
82,Rachel McAdams,17 listopada 1978,"London, Kanada",8.1,53757,"Zdobyła 7 nagród Teen Choice, 4 inne nagrody i 32 nominacje","Pamiętnik, Spotlight, Sherlock Holmes, Wredne dziewczyny, Polowanie na druhny, Rodzinny dom wariatów, I że cię nie opuszczę, O północy w Paryżu, ","Allie, Mary, Clare Abshire, Paige, Esti Kuperman, Regina George, Maureen Hope, Annie, Sigrit Ericksdottir, ","Sherlock Holmes 3, Doktor Strange w multiwersum obłędu, Eurovision Song Contest: Historia zespołu Fire Saga, Wieczór gier, Nieposłuszne, Doktor Strange, Every Thing Will Be Fine, Witamy na Hawajach, Do utraty sił, Detektyw, Spotlight, Bardzo poszukiwany człowiek, Czas na miłość, Wątpliwości, I że cię nie opuszczę, Namiętność, O północy w Paryżu, Sherlock Holmes: Gra cieni, Dzień dobry TV, Zaklęci w czasie, Stan gry, Sherlock Holmes, Szczęśliwy powrót, Życie małżeńskie, Polowanie na druhny, ",83,11,32, Kanada,London,0
83,Andrzej Grabowski,15 marca 1952,"Chrzanów, Polska",7.7,51162,,"Pitbull, Bad Boy, Druga połowa, Kop głębiej, Dzień świra, Wszyscy jesteśmy Chrystusami, Pitbull. Nowe porządki, Drogówka, ","Starszy aspirant Jacek Goc ""Gebels"", Ferdynand Kiepski, Starszy aspirant Jacek Goc ""Gebels"", Andrzej Jaroszyński, Maniek Kosela, Roman Kiliński, prywatny przedsiębiorca, Jarosław Kowalik ""Kowal"", Starszy aspirant Jacek Goc ""Gebels"", Zygmunt Jasiński, ojciec Żanety, Starszy aspirant Jacek Goc ""Gebels"", ","Ślub doskonały, Za duży na bajki, Jak pokochałam gangstera, Odwilż, Pitbull, Wygrać marzenia, Gang Zielonej Rękawiczki, Świat według Kiepskich, Blondynka, Lokatorka, W lesie dziś nie zaśnie nikt 2, Druga połowa, Aferzyści: Złe Psy, Piosenki o miłości, Pitbull, Porwać Andrzeja, Pajęczyna, Brigitte Bardot Cudowna, Bad Boy, Wyzwanie, Republika dzieci, Mayday, Bad Boy, Jak nie zgubić siebie, Odwróceni. Ojcowie i córki, ",,,, Polska,Chrzanów,0
84,Ben Affleck,15 sierpnia 1972,"Berkeley, Kalifornia, USA",7.5,50616,"Zdobył 2 nagrody Oscar, 26 innych nagród i 59 nominacji","Operacja Argo, Buntownik z wyboru, Pearl Harbor, Batman v Superman: Świt sprawiedliwości, Zakochany Szekspir, Zapłata, Daredevil, Hollywoodland, ","Christian Wolff, Chuckie Sullivan, Doug MacRay, Wujek Charlie, Nick Dunne, Kapitan Rafe McCawley, Jack, Tony Mendez, Hrabia Pierre d'Alençon, A.J. Frost, ","Justice League Part Two, The Flash, Głęboka woda, Ostatni pojedynek, Liga Sprawiedliwości Zacka Snydera, Bar dobrych ludzi, Witness for the Prosecution, Droga powrotna, Jego ostatnie życzenie, Potrójna granica, Jay i Cichy Bob powracają, Liga Sprawiedliwości, Nocne życie, Batman v Superman: Świt sprawiedliwości, Księgowy, Legion samobójców, Zaginiona dziewczyna, Ślepy traf, Wątpliwości, Operacja Argo, W firmie, Miasto złodziei, Kobiety pragną bardziej, Stan gry, Ekstrakt, ",,28,59, USA,Berkeley,1
85,Agata Kulesza,27 września 1971,"Szczecin, Polska",8.3,50531,"Zdobyła 4 nagrody Orzeł, 8 innych nagród i 15 nominacji","Sala samobójców, Róża, Ida, Jestem mordercą, Zabawa zabawa, 25 lat niewinności. Sprawa Tomka Komendy, Moje pieczone kurczaki, Kilka prostych słów, ","Róża Kwiatkowska, Teresa Klemańska, Marta Makowska, Wanda Gruz, ciotka Anny, Lidia Kalicka, Carmen Rota-Majewska, Prokurator Dorota, Beata Santorska, Matka przełożona Jadwiga Olecka, Mama Ady, ","Wesele, 25 lat niewinności. Sprawa Tomka Komendy, Skazana, Wilk, Rodzinka.pl, Sala samobójców. Hejter, Magnezja, 25 lat niewinności. Sprawa Tomka Komendy, Śniegu już nigdy nie będzie, Królestwo kobiet, Parkiet, Ultraviolet, Pułapka, Zimna wojna, Zabawa zabawa, Pewnego razu w listopadzie, Niewinne, Prawdziwe zbrodnie, Jestem mordercą, Szczęście świata, Krew z krwi, Służby specjalne, Moje córki krowy, Web Therapy, Tam gdzie świeci słońce, ",33,12,15, Polska,Szczecin,0
86,J.K. Simmons,9 stycznia 1955,"Detroit, Michigan, USA",8.3,50176,"Zdobył Oscar, 15 innych nagród i 17 nominacji","Whiplash, Palm Springs, Being the Ricardos, Podkomisarz Brenda Johnson, Odpowiednik, Spider-Man, La La Land, Juno, ","Terence Fletcher, Howard Silk, Vernon Schillinger, Roy, Mac MacGuff, ","Batgirl, Night Sky, Liga Sprawiedliwości Zacka Snydera, Wojna o jutro, National Champions, Kochaj życie, Spider-Man: Bez drogi do domu, Being the Ricardos, Walka z Goliatem, Pogromcy duchów. Dziedzictwo, Palm Springs, W obronie syna, Odpowiednik, Spider-Man: Daleko od domu, Veronica Mars, 21 mostów, Pewny kandydat. Jak nie zostać prezydentem, Renegaci, Pierwszy śnieg, Bękarty, Liga Sprawiedliwości, Nocna jazda, Mnie tu nie ma, Life Support, The Black Ghiandola, ",105,16,17, USA,Detroit,1
87,Mel Gibson,3 stycznia 1956,"Peekskill, Nowy Jork, USA",8.4,45341,"Zdobył 2 nagrody Oscar, 12 innych nagród i 25 nominacji","Waleczne Serce - Braveheart, Zabójcza broń 3, Co wiecie o swoich dziadkach?, Gallipoli, Tim, Patriota, Czego pragną kobiety, Niezniszczalni 3, ","William Wallace, Benjamin Martin, Jerry Fletcher, Hamlet, Justin McLeod, Bret Maverick, ","Agent Game, Hot Seat, Panama, Father Stu, Last Looks, Poziom mistrza, Dangerous, Zabójczy żywioł, Sposób na świętego, Profesor i szaleniec, Krew na betonie, Co wiecie o swoich dziadkach?, Dziedzictwo krwi, Niezniszczalni 3, Maczeta zabija, Dorwać gringo, Podwójne życie, Furia, Paparazzi, Śpiewający detektyw, Byliśmy żołnierzami, Znaki, Million Dollar Hotel, Patriota, Czego pragną kobiety, ",111,14,25, USA,Peekskill,1
88,Viggo Mortensen,20 października 1958,"Nowy Jork, Nowy Jork, USA",8.6,50877,"Zdobył Nagroda Filmwebu, 6 innych nagród i 45 nominacji","Władca Pierścieni: Powrót króla, Green Book, Captain Fantastic, Wschodnie obietnice, Władca Pierścieni: Dwie wieże, Jeszcze jest czas, Władca Pierścieni: Drużyna Pierścienia, Droga, ","Tony Lip, Ben, Nikolai Luzhin, Ojciec, John Peterson, Frank Hopkins, ","Crimes of the Future, Jeszcze jest czas, Green Book, Captain Fantastic, Rozgrywka, Jauja, Ze mną nie zginiesz, W drodze, Todos tenemos un plan, Niebezpieczna metoda, Droga, Dobry człowiek, Appaloosa, Wschodnie obietnice, Kapitan Alatriste, Historia przemocy, Hidalgo - ocean ognia, Władca Pierścieni: Powrót króla, Władca Pierścieni: Dwie wieże, Władca Pierścieni: Drużyna Pierścienia, 28 dni, Spacer po księżycu, Morderstwo doskonałe, Psychol, Cienka czerwona linia, ",24,7,45, USA,Nowy Jork,0
89,Vin Diesel,18 lipca 1967,"Nowy Jork, Nowy Jork, USA",8.2,42509,"Zdobył 2 nagrody Złoty Popcorn, 1 inna nagroda i 24 nominacje","Szybcy i wściekli, Szybcy i wściekli 6, Szeregowiec Ryan, Szybcy i wściekli 7, xXx, Szybcy i wściekli 8, Szybcy i wściekli 5, Szybko i wściekle, ","Richard B. Riddick, Richard B. Riddick, Richard B. Riddick, ","Fast X, Riddick 4: Furya, Szybcy i wściekli 9, Bloodshot, xXx: Reaktywacja, Szybcy i wściekli 8, Najdłuższy marsz Billy'ego Lynna, Szybcy i wściekli 7, Łowca czarownic, Riddick, Szybcy i wściekli 6, Szybcy i wściekli 5, Szybko i wściekle, Los Bandoleros, Babylon A.D., Uznajcie mnie za winnego, Szybcy i wściekli: Tokio Drift, Pacyfikator, Kroniki Riddicka, Odwet, xXx, Synowie mafii, Szybcy i wściekli, Pitch Black, Ryzyko, ",178,3,24, USA,Nowy Jork,0
90,Dwayne Johnson,2 maja 1972,"Hayward, Kalifornia, USA",7.9,48633,"Zdobył 4 nagrody Kryształowa Statuetka, 8 innych nagród i 45 nominacji","Jumanji: Przygoda w dżungli, Mumia powraca, Agent i pół, Podróż na Tajemniczą Wyspę, Szybcy i wściekli: Hobbs i Shaw, Jumanji: Następny poziom, Wyprawa do dżungli, Gracze, ","Sean Porter, Spencer Strasmore, Joe Kingman, Spencer, Bob Stone, Paul Doyle, ","Doc Savage, Arabian Nights, San Andreas 2, Lore, Black Adam, Alpha Squad Seven, Wyprawa do dżungli, Czerwona nota, Młody The Rock, Gracze, Na ringu z rodziną, Szybcy i wściekli: Hobbs i Shaw, Jumanji: Następny poziom, Rampage: Dzika furia, Drapacz chmur, Baywatch. Słoneczny patrol, Szybcy i wściekli 8, Jumanji: Przygoda w dżungli, Agent i pół, Szybcy i wściekli 7, San Andreas, Jem i Hologramy, Hercules, Szybcy i wściekli 6, G.I. Joe: Odwet, ",,12,45, USA,Hayward,0
91,Daniel Radcliffe,23 lipca 1989,"Londyn, Anglia, Wielka Brytania",8.2,49004,"Zdobył 3 nagrody Teen Choice, 2 inne nagrody i 22 nominacje","Harry Potter i Insygnia Śmierci, cz.2, Harry Potter i Kamień Filozoficzny, Harry Potter i Insygnia Śmierci: Część I, Harry Potter i Czara Ognia, Harry Potter i więzień Azkabanu, Harry Potter i Zakon Feniksa, Harry Potter i Książę Półkrwi, Harry Potter i Komnata Tajemnic, ","Manny, Allen Ginsberg, Młody dr Vladimir Bomgard, ","Weird: The Al Yankovic Story, Zaginione miasto, Cudotwórcy: Szlak oregoński, Cudotwórcy: Wieki ciemne, Ucieczka z Pretorii, Unbreakable Kimmy Schmidt: Kimmy kontra Wielebny, Cudotwórcy, Guns Akimbo, Beast of Burden, Dżungla, Lost in London, Iluzja 2, Człowiek-scyzoryk, Imperium, Victor Frankenstein, Wykolejona, The Gamechangers, Na śmierć i życie, Rogi, Słowo na M, Zapiski młodego lekarza, Kobieta w czerni, Harry Potter i Insygnia Śmierci: Część II, Harry Potter i Insygnia Śmierci: Część I, Harry Potter and the Forbidden Journey, ",228,5,22, Wielka Brytania,Londyn,0
92,Martin Freeman,8 września 1971,"Aldershot, Anglia, Wielka Brytania",8.4,49017,"Zdobył Emmy, 3 inne nagrody i 12 nominacji","Sherlock, Hobbit: Tam i z powrotem, Czarna Pantera, Fargo, Hobbit 2: Pustkowie Smauga, Hobbit: Bitwa Pięciu Armii, Biuro, To właśnie miłość, ","Lester Nygaard, Mike Priddle, Andy, John, Artur Dent, ","Czarna Pantera: Wakanda w moim sercu, Policjant, Rodzice, Gadające głowy, Perfekcjonistka, Wyznanie, Oda do radości, Czarna Pantera, To Provide All People, Sherlock, Przebudzenie dusz, StartUp, Ładunek, Whiskey Tango Foxtrot, Kapitan Ameryka: Wojna bohaterów, Fargo, Eichmann Show, Hobbit: Bitwa Pięciu Armii, Hobbit: Pustkowie Smauga, Svengali: Droga na szczyt, To już jest koniec, Hobbit: Niezwykła podróż, Animals, Swingowanie z Finkelami, Ilu miałaś facetów?, ",71,4,12, Wielka Brytania,Aldershot,0
93,Adam Driver,19 listopada 1983,"San Diego, Kalifornia, USA",8.1,48981,"Zdobył Saturn, 11 innych nagród i 38 nominacji","Historia małżeńska, Gwiezdne wojny: Przebudzenie Mocy, Paterson, Annette, Czarne bractwo. BlacKkKlansman, Gwiezdne wojny: Część 8 - Ostatni Jedi, Złaknieni, Dziewczyny, ","Charlie Barber, Henry McHenry, Paterson, Daniel Jones, Adam Sackler, Toby, Maurizio Gucci, Jacques Le Gris, ","Enzo Ferrari, 65, White Noise, Annette, Ostatni pojedynek, Dom Gucci, Gwiezdne wojny: Skywalker. Odrodzenie, Truposze nie umierają, Raport, Historia małżeńska, Człowiek, który zabił Don Kichota, Czarne bractwo. BlacKkKlansman, Dziewczyny, Gwiezdne wojny: Ostatni Jedi, Logan Lucky, Opowieści o rodzinie Meyerowitz (utwory wybrane), Midnight Special, Milczenie, Paterson, Gwiezdne wojny: Przebudzenie Mocy, Powiedzmy sobie wszystko, Ta nasza młodość, Złaknieni, Zimowy ptaszek, Co jest grane, Davis?, ",258,12,38, USA,San Diego,0
94,Mark Wahlberg,5 czerwca 1971,"Boston, Massachusetts, USA",7.8,48400,"Zdobył Critics' Choice, 2 inne nagrody i 38 nominacji","Infiltracja, Ted, Ocalony, Fighter, Transformers: Wiek zagłady, Boogie Nights, Transformers: Ostatni Rycerz, Ted 2, ","Sierżant sztabowy Sean Dignam, David McCall, Bob Lee Swagger, Marcus Luttrell, Bobby Mercer, Micky Ward, Mickey, Pete, Mike Williams, Vince Papale, ","Uncharted, Father Stu, W nieskończoność, The Six Billion Dollar Man, Good Joe Bell, Śledztwo Spensera, Eskorta, Rodzina od zaraz, Transformers: Ostatni Rycerz, Co wiecie o swoich dziadkach?, Wszystkie pieniądze świata, Żywioł. Deepwater Horizon, Dzień patriotów, Ted 2, Nieznajomy z Mojave, Tata kontra tata, Ekipa, Transformers: Wiek zagłady, Gracz, Władza, Agenci, Sztanga i cash, Ocalony, Kontrabanda, Ted, ",,3,38, USA,Boston,0
95,Daniel Craig,2 marca 1968,"Chester, Anglia, Wielka Brytania",8.3,48654,"Zdobył Critics' Choice, 2 inne nagrody i 20 nominacji","Skyfall, Nie czas umierać, Casino Royale, Na noże, Głosy, Spectre, Przekładaniec, Przetrzymać tę miłość, ","Benoit Blanc, Mikael Blomkvist, Rudy Mackenzie, Szturmowiec JB-007, Will Atenton, ","Nie czas umierać, Purity, Na noże, Logan Lucky, Kings, Spectre, Gwiezdne wojny: Przebudzenie Mocy, Skyfall, Dom snów, Dziewczyna z tatuażem, Kowboje i obcy, The Organ Grinder's Monkey, 007 Quantum of Solace, Opór, Zakochany głupiec, Inwazja, Złoty kompas, Bez skrupułów, Casino Royale, Obłęd, Archanioł, Monachium, Los utracony, Przetrzymać tę miłość, Przekładaniec, ",149,3,20, Wielka Brytania,Chester,0
96,Mads Mikkelsen,22 listopada 1965,"Kopenhaga, Dania",8.7,48323,"Zdobył Złota Palma, 6 innych nagród i 21 nominacji","Polowanie, Na rauszu, Hannibal, Pusher II - Krew na rękach, Łotr 1. Gwiezdne wojny - historie, Jabłka Adama, Tuż po weselu, Kochanek królowej, ","Lucas, Ivan, Martin, Tonny, Svend, Markus, Johann Friedrich Struensee, Overgård, ","War Below Zero, Untitled Indiana Jones Project, Fantastyczne zwierzęta: Tajemnice Dumbledore'a, Ruchomy chaos, The Billion Dollar Spy, Na rauszu, Jeźdźcy sprawiedliwości, Polar, Arktyka, Van Gogh. U bram wieczności, Łotr 1. Gwiezdne wojny - historie, Doktor Strange, Le Fantôme, Hannibal, Mężczyźni i kurczaki, Wybawiciel, Michael Kohlhaas, Charlie musi umrzeć, Kochanek królowej, Polowanie, Move On, Trzej muszkieterowie, Starcie tytanów, Valhalla: Mroczny wojownik, Chanel i Strawiński, ",37,7,21, Dania,Kopenhaga,0
97,Robert Pattinson,13 maja 1986,"Londyn, Anglia, Wielka Brytania",8.1,47937,"Zdobył 2 nagrody Kryształowa Statuetka, 21 innych nagród i 22 nominacje","Saga ""Zmierzch"": Zaćmienie, Saga ""Zmierzch"": Księżyc w nowiu, Saga ""Zmierzch"": Przed świtem. Część 2, Twój na zawsze, Saga ""Zmierzch"": Przed świtem. Część 1, Woda dla słoni, How to Be, Lighthouse, ","Thomas Howard, Wielebny Preston Teagardin, Connie Nikas, Neil, Tyler Hawkins, Reynolds, Delfin, Jacob Jankowski, Henry Costin, ","Batman, Diabeł wcielony, Tenet, Lighthouse, Król, Czekając na barbarzyńców, Damulka, High Life, Good Time, Zaginione miasto Z, Królowa pustyni, Life, Dzieciństwo wodza, Rover, Mapy gwiazd, Uwodziciel, Saga ""Zmierzch"": Przed świtem. Część 2, Cosmopolis, Woda dla słoni, Saga ""Zmierzch"": Przed świtem. Część 1, Saga ""Zmierzch"": Zaćmienie, Twój na zawsze, Miłość i brak zaufania, The Summer House, Saga ""Zmierzch"": Księżyc w nowiu, ",267,23,22, Wielka Brytania,Londyn,0
98,Robin Williams,21 lipca 1951,"Chicago, Illinois, USA",8.7,46495,"Zdobył Oscar, 15 innych nagród i 37 nominacji","Buntownik z wyboru, Pani Doubtfire, Stowarzyszenie Umarłych Poetów, Good Morning, Vietnam, Hook, Fisher King, Zdjęcie w godzinę, Klatka dla ptaków, ","John Keating, Sean Maguire, Daniel Hillard / Pani Euphegenia Doubtfire, Doktor Malcolm Sayer, Parry, Starszy szeregowy Adrian Cronauer, Patch Adams, Chris Nielsen, Armand Goldman, Seymour 'Sy' Parrish, ","Choleryk z Brooklynu, Wesołe kurcze święta, Noc w muzeum: Tajemnica grobowca, Bulwar, Wielkie wesele, Oblicze miłości, Kamerdyner, Przereklamowani, Stare wygi, Najlepszy ojciec świata, Noc w muzeum 2, Całe życie z wariatami, August Rush, Licencja na miłość, RV: Szalone wakacje na kółkach, Nocny słuchacz, Człowiek roku, Noc w muzeum, Ciało za milion, Wersja ostateczna, Głowa do góry, Czekając na cud, The Rutles 2: Can't Buy Me Lunch, Freedom: A History of Us, Smoochy, ",27,16,37, USA,Chicago,1
99,Heath Ledger,4 kwietnia 1979,"Perth, Australia",8.8,47651,"Zdobył Oscar, 19 innych nagród i 24 nominacje","Tajemnica Brokeback Mountain, I'm Not There. Gdzie indziej jestem, Obłędny rycerz, Zakochana złośnica, Candy, Królowie Dogtown, Ned Kelly, Partnerska rozgrywka, ","Ennis Del Mar, Patrick Verona, Dan, Tony, William Thatcher, Gabriel Martin, Giacomo Casanova, Jacob Grimm, Bob Dylan / Robbie Clark, ","Parnassus, Mroczny Rycerz, I'm Not There. Gdzie indziej jestem, Candy, Nieustraszeni bracia Grimm, Casanova, Tajemnica Brokeback Mountain, Królowie Dogtown, Zjadacz grzechów, Ned Kelly, Cena honoru, Obłędny rycerz, Czekając na wyrok, Patriota, Zakochana złośnica, Partnerska rozgrywka, Prawo miecza, Żyć w Blackrock, Cztery łapy, Siódme poty, Wyspa przygód, Clowning Around, ",13,20,24, Australia,Perth,1
